Expt,genes
1,7.2957
1,22.9575
1,7.23181
1,5.22828
1,1.9373
1,1.5026
1,0.0
1,84.0145
1,18.2735
1,7.08173
1,11.8904
1,1.95765
1,5.04354
1,2.59864
1,17.2192
1,20.2845
1,30.6929
1,0.0
1,10.5702
1,9.9228
1,27.6171
1,27.4707
1,14.2465
1,14.2546
1,22.1785
1,65.6025
1,15.2136
1,16.8107
1,25.094
1,16.0099
1,71.7001
1,4.00319
1,28.8561
1,0.735734
1,11.1432
1,10.126
1,10.8838
1,1.85446
1,3.27304
1,5.51123
1,32.4893
1,2.31746
1,9.58052
1,6.56865
1,2.80762
1,11.0541
1,2.85399
1,4.00826
1,18.7523
1,5.24689
1,4.76659
1,16.6831
1,14.7621
1,28.7344
1,10.4643
1,74.7984
1,3.82582
1,12.9594
1,70.0902
1,23.0383
1,7.96181
1,4.45849
1,12.2598
1,12.9369
1,5.52434
1,8.20899
1,15.0002
1,2.95403
1,1.72438
1,18.661
1,3.61732
1,14.9832
1,1.29022
1,0.0
1,3.41118
1,4.94793
1,35.377
1,3.81196
1,2.92378
1,29.8402
1,3.29935
1,9.48296
1,11.8933
1,19.8944
1,4.69412
1,67.0233
1,5.84912
1,5.90273
1,8.88085
1,7.6358
1,5.64986
1,6.97513
1,7.48564
1,7.95437
1,8.11519
1,4.78198
1,30.8049
1,31.0678
1,3.79579
1,14.8188
1,9.51239
1,17.0845
1,18.1452
1,9.66387
1,64.7698
1,77.3789
1,1.19719
1,3.36156
1,4.71902
1,6.30149
1,1.32e-06
1,59.5484
1,2.31509
1,3.38267
1,19.0991
1,5.74037
1,11.2183
1,32.0628
1,24.4683
1,0.0
1,1.4853
1,2.51225
1,12.3407
1,11.7192
1,18.1683
1,10.0369
1,0.0
1,1.63847
1,4.93168
1,13.9289
1,15.3954
1,1.57075
1,8.29572
1,4.73661
1,11.4935
1,17.5438
1,18.9133
1,4.44239
1,1.72489
1,11.9072
1,7.19575
1,18.891
1,1.6847
1,2.83354
1,0.0
1,14.5674
1,11.9
1,4.07589
1,0.0
1,28.5683
1,2.07404
1,17.8098
1,67.6142
1,16.068
1,2.93217
1,1.39408
1,3.68012
1,3.83345
1,16.5407
1,8.94034
1,14.8434
1,4.339
1,7.50011
1,8.94704
1,5.08715
1,5.13582
1,23.6687
1,1.55908
1,10.7931
1,67.1059
1,4.8201
1,4.23631
1,11.7745
1,3.53083
1,11.316
1,67.2397
1,10.9476
1,15.4289
1,33.3923
1,5.44823
1,3.46232
1,6.41902
1,1.15147
1,3.51792
1,28.4978
1,4.81481
1,6.39652
1,33.0007
1,1.27043
1,9.1816
1,3.13621
1,13.8743
1,11.6108
1,8.35206
1,4.42982
1,28.1788
1,0.0
1,35.3568
1,14.4169
1,16.0912
1,19.9304
1,14.2045
1,0.0
1,8.67974
1,2.16919
1,5.73493
1,14.473
1,3.23777
1,4.28982
1,0.853694
1,12.0421
1,17.3191
1,1.96104
1,9.50725
1,6.01769
1,3.55708
1,25.2485
1,9.35728
1,8.5823
1,14.9007
1,5.57311
1,1.46134
1,9.42965
1,1.74549
1,1.05463
1,15.2108
1,10.8071
1,29.4469
1,32.1098
1,3.78705
1,6.03773
1,9.85749
1,0.821378
1,28.9241
1,4.00198
1,3.3437
1,1.6003
1,3.24152
1,4.69421
1,3.04554
1,11.465
1,4.46254
1,21.5319
1,3.15826
1,12.1068
2,2.8777
2,6.24363
2,32.6538
2,2.86655
2,1.53633
2,6.49259
2,40.2241
2,3.00358
2,15.8172
2,14.9873
2,0.0173105
2,2.64566
2,69.2009
2,0.396676
2,9.44971
2,6.15918
2,6.93311
2,4.33977
2,15.9939
2,2.1403
2,3.0497
2,5.3398
2,39.7838
2,5.42161
2,8.38777
2,4.55954
2,17.1207
2,20.4463
2,6.08723
2,20.9988
2,12.5963
2,3.42998
2,16.44
2,0.822179
2,4.08797
2,3.09188
2,7.82698
2,3.3776
2,7.50266
2,5.91442
2,2.08367
2,59.6912
2,32.2827
2,1.61658
2,2.46343
2,2.03485
2,4.43856
2,2.13472
2,5.1192
2,11.6933
2,3.6015
2,7.80357
2,1.57377
2,7.51332
2,7.81848
2,8.0887
2,2.16267
2,6.21031
2,8.34353
2,5.08882
2,2.87794
2,62.6273
2,6.49895
2,8.02149
2,0.0
2,1.03998
2,12.0793
2,2.13935
2,0.906646
2,10.0823
2,60.4607
2,66.1107
2,0.943714
2,9.91664
2,6.47922
2,7.55978
2,9.41698
2,8.18315
2,0.853206
2,9.95463
2,6.98084
2,4.73033
2,2.60774
2,3.82021
2,1.54412
2,8.97432
2,6.24008
2,1.78717
2,3.14509
2,24.0585
2,18.9881
2,3.42396
2,3.72738
2,2.02059
2,5.21535
2,2.20293
2,4.51638
2,2.24001
2,43.3267
2,33.6405
2,2.67511
2,0.0
2,8.09333
2,1.88531
2,1.61894
2,3.46207
2,20.6766
2,4.59711
2,4.90868
2,0.541385
2,5.75053
2,5.25187
2,2.76984
2,13.1599
2,4.40099
2,1.8621
2,1.04586
2,7.44233
2,3.69499
2,13.0685
2,4.66979
2,13.3334
2,6.95494
2,2.62715
2,2.446
2,3.86371
2,1.61758
2,2.91197
2,33.3462
2,7.44406
2,3.23847
2,3.08482
2,6.15613
2,2.52708
2,4.37027
2,34.6643
2,2.7759
2,1.96667
2,3.84667
2,2.34026
2,0.712905
2,3.85745
2,3.46519
2,11.0132
2,1.28119
2,3.98058
2,9.13706
2,3.64238
2,9.27757
2,3.1869
2,13.8172
2,2.52428
2,2.03424
2,1.94476
2,7.55863
2,33.673
2,5.52064
2,5.00456
2,73.8461
2,4.15316
2,5.78439
2,61.5975
2,0.00953519
2,3.54937
2,1.24075
2,1.72224
2,5.34497
2,19.4003
2,5.83025
2,34.3672
2,4.33235
2,16.2138
2,9.7098
2,0.478245
2,15.4395
2,5.70653
2,12.928
2,4.3007
2,5.51384
2,8.28597
2,5.57202
2,60.6946
2,5.25592
2,0.0002389
2,1.02807
2,0.274175
2,4.02814
2,3.30838
2,6.99052
2,31.8316
2,29.6604
2,1.83856
2,15.1462
2,2.94967
2,1.7263
2,4.4019
2,4.2435
2,11.3037
2,15.5607
2,2.52483
2,5.17364
2,2.11805
2,12.1669
2,1.98934
2,5.02568
2,2.63022
2,15.3498
2,8.12651
2,3.37007
2,2.85573
2,2.55273
2,1.30707
2,2.46581
2,2.34186
2,4.89356
2,1.11545
2,1.35544
2,4.50371
2,11.9819
2,9.09472
2,18.0717
2,0.0225396
2,0.365374
2,22.849
2,5.14407
3,232.129
3,20.8807
3,43.0603
3,35.7217
3,219.631
3,171.603
3,308.085
3,20.4728
3,222.894
3,94.3979
3,81.9393
3,35.7848
3,109.698
3,70.7942
3,59.3491
3,35.2018
3,39.1631
3,67.8142
3,51.7974
3,89.3943
3,168.623
3,84.1125
3,0.0
3,71.8555
3,23.894
3,305.526
3,23.4271
3,135.22
3,40.249
3,39.0318
3,1.54538
3,39.2481
3,90.2065
3,0.0
3,298.523
3,58.3169
3,52.5581
3,0.0
3,0.0
3,28.9802
3,38.6254
3,44.9174
3,75.3029
3,58.0609
3,79.9342
3,33.8093
3,370.613
3,467.927
3,79.1363
3,303.615
3,59.9106
3,77.0388
3,28.7841
3,34.0396
3,94.3086
3,30.7923
3,358.89
3,31.8661
3,85.1498
3,81.1836
3,50.4591
3,61.4383
3,61.2225
3,43.8717
3,80.5628
3,21.7421
3,16.8781
3,53.7156
3,25.2455
3,230.748
3,99.3575
3,74.585
3,75.5809
3,0.0
3,90.5199
3,91.8484
3,70.2253
3,68.2675
3,36.2191
3,297.128
3,83.7129
3,96.2263
3,87.805
3,64.7346
3,73.9231
3,37.8526
3,37.1743
3,170.104
3,0.00281099
3,161.595
3,25.3951
3,0.0
3,20.0815
3,452.242
3,82.951
3,182.974
3,33.6675
3,0.0
3,22.1694
3,27.0649
3,137.353
3,26.7378
3,62.8621
3,86.8532
3,1.33e-08
3,31.4621
3,29.7508
3,36.8615
3,29.0341
3,92.1476
3,52.2269
3,39.6417
3,62.695
3,251.616
3,41.4077
3,37.8028
3,295.322
3,183.635
3,46.3065
3,33.3634
3,52.0934
3,38.2958
3,48.3941
3,83.3936
3,77.4821
3,165.804
3,64.6779
3,58.5239
3,176.969
3,3.27e-05
3,83.0565
3,93.5736
3,24.4799
3,89.5257
3,159.3
3,20.5261
3,35.0938
3,37.5994
3,36.4104
3,93.3029
3,19.0271
3,102.308
3,99.8712
3,102.55
3,38.9846
3,76.9726
3,43.9799
3,37.7255
3,113.099
3,97.3007
3,457.655
3,27.2676
3,72.3144
3,39.4162
3,65.2059
3,77.4237
3,32.8873
3,44.2727
3,55.3985
3,58.9562
3,40.5557
3,39.4401
3,75.0622
3,37.8936
3,177.782
3,54.1693
3,1.33e-09
3,72.2787
3,304.859
3,157.497
3,24.4951
3,0.41876
3,366.421
3,365.091
3,113.346
3,64.0949
3,87.1008
3,25.1924
3,0.260643
3,99.8975
3,27.8029
3,41.3909
3,254.759
3,137.945
3,66.397
3,307.404
3,39.3428
3,461.014
3,76.7201
3,75.8812
3,36.624
3,64.3193
3,50.3754
3,108.26
3,26.9794
3,76.1455
3,78.7686
3,241.422
3,64.2122
3,246.834
3,34.7375
3,134.672
3,38.6562
3,47.6341
3,48.5127
3,38.0992
3,1.2492
3,60.3376
3,38.9623
3,45.4591
3,52.2985
3,5.02671
3,80.6614
3,43.6138
3,0.0
3,36.6821
3,46.3057
3,34.4167
3,59.0253
3,166.809
3,37.06
3,71.3259
3,95.8391
3,54.2353
3,71.5121
